mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,000869,2010-02-26,S,S,A,C,S,S,A,40.7983,41.52,39.91,1.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600875,2010-04-20,S,S,A,C,S,S,A,19.6364,18.27,17.48,0.79,,1,18.27,20.9683,2010-04-27,0,3.3959,1,18.27,20.5366,2010-05-05,0,2.8497,1,18.27,19.0784,2010-05-19,0,1.0051
prebreak,601628,2010-04-20,S,S,A,C,S,S,A,20.7466,21.97,21.01,0.96,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601628,2010-05-19,S,S,A,C,S,S,A,18.5667,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600150,2010-05-21,S,S,A,C,S,S,A,28.8019,30.23,29.03,1.2,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600685,2010-05-24,S,S,A,C,S,S,A,15.156,16.8,16.23,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601628,2010-05-26,S,S,A,C,S,S,A,18.1458,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601628,2010-06-02,S,S,A,C,S,S,A,18.1533,18.83,17.93,0.9,,0,0.0,0.0,,0,0.0,1,18.83,18.9876,2010-06-22,0,0.1592,1,18.83,19.5359,2010-07-06,0,0.7679
prebreak,600150,2010-06-04,S,S,A,C,S,S,A,28.7255,29.28,27.88,1.4,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600150,2010-06-11,S,S,A,C,S,S,A,28.2894,28.83,27.74,1.09,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600054,2010-08-05,S,S,A,C,S,S,A,11.486,11.51,11.01,0.5,,1,11.51,12.1582,2010-08-12,0,1.2781,1,11.51,12.2277,2010-08-19,0,1.4171,1,11.51,12.8884,2010-09-02,0,2.7376
prebreak,600600,2010-08-09,S,S,A,C,S,S,A,28.1021,28.01,26.57,1.44,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600150,2010-09-02,S,S,A,C,S,S,A,27.7664,27.82,26.41,1.41,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601088,2010-09-08,S,S,A,C,S,S,A,9.2076,9.39,8.89,0.5,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,9.39,10.6744,2010-10-18,0,2.5529
prebreak,601628,2010-11-19,S,S,A,C,S,S,A,17.9743,20.53,19.48,1.05,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002028,2011-02-15,S,S,A,C,S,S,A,12.0084,11.85,11.32,0.53,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002028,2011-03-01,S,S,A,C,S,S,A,12.0441,12.18,11.64,0.54,,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517,1,12.18,12.1613,2011-03-04,0,-0.0517
prebreak,000668,2011-03-07,S,S,A,C,S,S,A,12.4006,11.93,11.36,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002028,2011-03-08,S,S,A,C,S,S,A,12.2174,12.51,11.86,0.65,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600600,2011-04-07,S,S,A,C,S,S,A,25.273,25.39,24.34,1.05,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600600,2011-04-14,S,S,A,C,S,S,A,26.0138,26.21,25.05,1.16,,0,0.0,0.0,,0,0.0,1,26.21,25.9823,2011-04-28,0,-0.2134,1,26.21,27.582,2011-05-13,0,1.1649
prebreak,600561,2011-04-18,S,S,A,C,S,S,A,11.4396,11.9,11.34,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600138,2011-04-29,S,S,A,C,S,S,A,8.8979,9.95,9.43,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600138,2011-05-09,S,S,A,C,S,S,A,8.783,9.95,9.43,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600600,2011-06-21,S,S,A,C,S,S,A,26.3527,28.08,26.59,1.49,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600600,2011-07-05,S,S,A,C,S,S,A,27.8106,27.44,26.28,1.16,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600859,2011-07-13,S,S,A,C,S,S,A,25.162,23.72,22.73,0.99,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000568,2011-07-14,S,S,A,C,S,S,A,30.0422,29.06,27.79,1.27,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000878,2011-07-26,S,S,A,C,S,S,A,19.4744,20.6,19.67,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000655,2011-08-01,S,S,A,C,S,S,A,17.2348,17.45,16.56,0.89,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000878,2011-09-07,S,S,A,C,S,S,A,17.0945,18.07,17.31,0.76,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,002128,2011-09-07,S,S,A,C,S,S,A,11.0331,12.09,11.49,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000568,2011-09-16,S,S,A,C,S,S,A,26.8882,28.8,27.42,1.38,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,000858,2011-09-16,S,S,A,C,S,S,A,25.7978,27.01,25.7,1.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601601,2011-09-20,S,S,A,C,S,S,A,12.9118,13.18,12.62,0.56,,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173,1,13.18,12.62,2011-09-23,1,-1.0173
prebreak,601601,2011-09-27,S,S,A,C,S,S,A,11.9249,13.18,12.62,0.56,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,13.18,12.8739,2011-11-01,0,-0.5642
prebreak,000568,2011-09-30,S,S,A,C,S,S,A,24.7856,25.47,24.16,1.31,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600009,2011-10-11,S,S,A,C,S,S,A,9.8022,10.11,9.61,0.5,,1,10.11,10.3435,2011-10-18,0,0.4514,1,10.11,10.688,2011-10-25,0,1.14,1,10.11,10.7619,2011-11-08,0,1.2875
prebreak,601001,2011-10-12,S,S,A,C,S,S,A,12.3816,12.89,12.31,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600009,2011-10-25,S,S,A,C,S,S,A,10.688,10.62,10.07,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,601001,2011-10-26,S,S,A,C,S,S,A,11.8739,12.51,11.88,0.63,,0,0.0,0.0,,0,0.0,1,12.51,12.4988,2011-11-09,0,-0.0328,1,12.51,12.2645,2011-11-10,0,-0.4046
prebreak,600844,2011-10-27,S,S,A,C,S,S,A,20.05,19.91,18.96,0.95,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
prebreak,600009,2011-11-01,S,S,A,C,S,S,A,10.5568,10.62,10.07,0.55,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0
